id	journal_name	show_at_home_order	abstract	resource_links	pp_pages	issue	volume	pmc_id	pm_id	doi	other_link	year_published	article_name	assay_development	data_analysis	data_generation	data_integration	data_standards	signature_generation	software_development	review	created_at	updated_at	analytical_method_development	center_pub
43	Nature Methods	NULL	"Whereas genomic data are universally machine-readable, data from imaging, multiplex biochemistry, flow cytometry and other cell- and tissue-based assays usually reside in loosely organized files of poorly documented provenance. This arises because the relational databases used in genomic research are difficult to adapt to rapidly evolving experimental designs, data formats and analytic algorithms. Here we describe an adaptive approach to managing experimental data based on semantically typed data hypercubes (SDCubes) that combine hierarchical data format 5 (HDF5) and extensible markup language (XML) file types. We demonstrate the application of SDCube-based storage using ImageRail, a software package for high-throughput microscopy. Experimental design and its day-to-day evolution, not rigid standards, determine how ImageRail data are organized in SDCubes. We applied ImageRail to collect and analyze drug dose-response landscapes in human cell lines at single-cell resolution."	"{\SDCubes\"":\""https://github.com/sorgerlab/SDCube_API\""}"""	487-93	6	8	PMC3105758	21516115	10.1038/nmeth.1600	NULL	2011	Adaptive informatics for multifactorial and high-content biological data.	0	1	1	0	1	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
44	Science Signaling	NULL	"Computational analyses of systematic measurements on the states and activities of signaling proteins (as captured by phosphoproteomic data, for example) have the potential to uncover uncharacterized protein-protein interactions and to identify the subset that are important for cellular response to specific biological stimuli. However, inferring mechanistically plausible protein signaling networks (PSNs) from phosphoproteomics data is a difficult task, owing in part to the lack of sufficiently comprehensive experimental measurements, the inherent limitations of network inference algorithms, and a lack of standards for assessing the accuracy of inferred PSNs. A case study in which 12 research groups inferred PSNs from a phosphoproteomics data set demonstrates an assessment of inferred PSNs on the basis of the accuracy of their predictions. The concurrent prediction of the same previously unreported signaling interactions by different participating teams suggests relevant validation experiments and establishes a framework for combining PSNs inferred by multiple research groups into a composite PSN. We conclude that crowdsourcing the construction of PSNs-that is, outsourcing the task to the interested community-may be an effective strategy for network inference."	NULL	mr7	189	4	PMC3465072	21900204	10.1126/scisignal.2002212	NULL	2011	Crowdsourcing network inference: the dream predictive signaling network challenge.	0	0	0	0	0	0	0	1	5/19/16 18:33	5/19/16 18:33	0	1
45	Computational Biology and Chemistry	NULL	"With advances in genomics, transcriptomics, metabolomics and proteomics, and more expansive electronic clinical record monitoring, as well as advances in computation, we have entered the Big Data era in biomedical research. Data gathering is growing rapidly while only a small fraction of this data is converted to useful knowledge or reused in future studies. To improve this, an important concept that is often overlooked is data abstraction. To fuse and reuse biomedical datasets from diverse resources, data abstraction is frequently required. Here we summarize some of the major Big Data biomedical research resources for genomics, proteomics and phenotype data, collected from mammalian cells, tissues and organisms. We then suggest simple data abstraction methods for fusing this diverse but related data. Finally, we demonstrate examples of the potential utility of such data integration efforts, while warning about the inherit biases that exist within such data."	NULL	123-38	NULL	59 Pt B	PMC4675694	26101093	NULL	NULL	2015	"Abstraction for data integration: Fusing mammalian molecular, cellular and phenotype big datasets for better knowledge extraction."	0	1	0	1	0	0	0	1	5/19/16 18:33	5/19/16 18:33	0	1
46	Nature Communications	NULL	"Single-cell analysis reveals aspects of cellular physiology not evident from population-based studies, particularly in the case of highly multiplexed methods such as mass cytometry (CyTOF) able to correlate the levels of multiple signalling, differentiation and cell fate markers. Immunofluorescence (IF) microscopy adds information on cell morphology and the microenvironment that are not obtained using flow-based techniques, but the multiplicity of conventional IF is limited. This has motivated development of imaging methods that require specialized instrumentation, exotic reagents or proprietary protocols that are difficult to reproduce in most laboratories. Here we report a public-domain method for achieving high multiplicity single-cell IF using cyclic immunofluorescence (CycIF), a simple and versatile procedure in which four-colour staining alternates with chemical inactivation of fluorophores to progressively build a multichannel image. Because CycIF uses standard reagents and instrumentation and is no more expensive than conventional IF, it is suitable for high-throughput assays and screening applications."	"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/lin-natcommun-2015/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/lin-natcommun-2015-resource/\"", \""ImageJ Macros/MATLAB Scripts\"":\""http://lincs.hms.harvard.edu/lin-natcommun-2015-resource/\""}"""	8390	NULL	6	PMC4587398	26399630	10.1038/ncomms9390	NULL	2015	Highly multiplexed imaging of single cells using a high-throughput cyclic immunofluorescence method.	1	1	1	0	0	1	0	0	5/19/16 18:33	5/19/16 18:33	0	1
47	Proceedings (IEEE Int Conf Bioinformatics Biomed)	NULL	"Gene set analysis of differential expression, which identifies collectively differentially expressed gene sets, has become an important tool for biology. The power of this approach lies in its reduction of the dimensionality of the statistical problem and its incorporation of biological interpretation by construction. Many approaches to gene set analysis have been proposed, but benchmarking their performance in the setting of real biological data is difficult due to the lack of a gold standard. In a previously published work we proposed a geometrical approach to differential expression which performed highly in benchmarking tests and compared well to the most popular methods of differential gene expression. As reported, this approach has a natural extension to gene set analysis which we call Principal Angle Enrichment Analysis (PAEA). PAEA employs dimensionality reduction and a multivariate approach for gene set enrichment analysis. However, the performance of this method has not been assessed nor its implementation as a web-based tool. Here we describe new benchmarking protocols for gene set analysis methods and find that PAEA performs highly. The PAEA method is implemented as a user-friendly web-based tool, which contains 70 gene set libraries and is freely available to the community."	"{\Principal Angle Enrichment Analysis (PAEA)\"":\""http://amp.pharm.mssm.edu/PAEA/\""}"""	256-262	NULL	2015	PMC4737646	26848405	NULL	NULL	2015	Principal Angle Enrichment Analysis (PAEA): Dimensionally reduced multivariate gene set enrichment analysis tool.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
48	Scientific Reports	NULL	"Inhibition of cancer-promoting kinases is an established therapeutic strategy for the treatment of many cancers, although resistance to kinase inhibitors is common. One way to overcome resistance is to target orthogonal cancer-promoting pathways. Bromo and Extra-Terminal (BET) domain proteins, which belong to the family of epigenetic readers, have recently emerged as promising therapeutic targets in multiple cancers. The development of multitarget drugs that inhibit kinase and BET proteins therefore may be a promising strategy to overcome tumor resistance and prolong therapeutic efficacy in the clinic. We developed a general computational screening approach to identify novel dual kinase/bromodomain inhibitors from millions of commercially available small molecules. Our method integrated machine learning using big datasets of kinase inhibitors and structure-based drug design. Here we describe the computational methodology, including validation and characterization of our models and their application and integration into a scalable virtual screening pipeline. We screened over 6 million commercially available compounds and selected 24 for testing in BRD4 and EGFR biochemical assays. We identified several novel BRD4 inhibitors, among them a first in class dual EGFR-BRD4 inhibitor. Our studies suggest that this computational screening approach may be broadly applicable for identifying dual kinase/BET inhibitors with potential for treating various cancers."	NULL	16924	NULL	5	PMC4657038	26596901	NULL	NULL	2015	Large-scale computational screening identifies first in class multitarget inhibitor of EGFR kinase and BRD4.	0	1	0	1	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
49	Biometrics	NULL	"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative condition characterized by the progressive deterioration of motor neurons in the cortex and spinal cord. Using an automated robotic microscope platform that enables the longitudinal tracking of thousands of single neurons, we examine the effects a large library of compounds on modulating the survival of primary neurons expressing a mutation known to cause ALS. The goal of our analysis is to identify the few potentially beneficial compounds among the many assayed, the vast majority of which do not extend neuronal survival. This resembles the large-scale simultaneous inference scenario familiar from microarray analysis, but transferred to the survival analysis setting due to the novel experimental setup. We apply a three-component mixture model to censored survival times of thousands of individual neurons subjected to hundreds of different compounds. The shrinkage induced by our model significantly improves performance in simulations relative to performing treatment-wise survival analysis and subsequent multiple testing adjustment. Our analysis identified compounds that provide insight into potential novel therapeutic strategies for ALS."	NULL	936-44	3	72	PMC4965338 	26821783	10.1111/biom.12479	NULL	2016	A three-groups model for high-throughput survival screens.	0	1	0	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	1	1
50	bioRxiv	NULL	"In recent years, the assay for transposase-accessible chromatin using sequencing (ATAC-Seq) has become a fundamental tool of epigenomic research. However, it has proven difficult to perform this technique on frozen samples because freezing cells before extracting nuclei impairs nuclear integrity and alters chromatin structure. We describe a protocol for freezing cells that is compatible with ATAC-Seq, producing results that compare well with those generated from fresh cells. We found that while flash-frozen samples are not suitable for ATAC-Seq, the assay is successful with slow-cooled cryopreserved samples. Using this method, we were able to isolate high quality, intact nuclei, and we verified that epigenetic results from fresh and cryopreserved samples agree quantitatively. We developed our protocol on a disease-relevant cell type, namely motor neurons differentiated from induced pluripotent stem cells from a patient affected by spinal muscular atrophy."	NULL	NULL	NULL	[preprint]	NULL	NULL	10.1101/036798	NULL	2016	Cell freezing protocol optimized for ATAC-Seq on motor neurons derived from human induced pluripotent stem cells.	1	1	1	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
51	Frontiers in Cellular Neuroscience	NULL	"Spinal muscular atrophy (SMA) is an inherited neuromuscular disease primarily characterized by degeneration of spinal motor neurons, and caused by reduced levels of the SMN protein. Previous studies to understand the proteomic consequences of reduced SMN have mostly utilized patient fibroblasts and animal models. We have derived human motor neurons from type I SMA and healthy controls by creating their induced pluripotent stem cells (iPSCs). Quantitative mass spectrometry of these cells revealed increased expression of 63 proteins in control motor neurons compared to respective fibroblasts, whereas 30 proteins were increased in SMA motor neurons vs. their fibroblasts. Notably, UBA1 was significantly decreased in SMA motor neurons, supporting evidence for ubiquitin pathway defects. Subcellular distribution of UBA1 was predominantly cytoplasmic in SMA motor neurons in contrast to nuclear in control motor neurons; suggestive of neurodevelopmental abnormalities. Many of the proteins that were decreased in SMA motor neurons, including beta III-tubulin and UCHL1, were associated with neurodevelopment and differentiation. These neuron-specific consequences of SMN depletion were not evident in fibroblasts, highlighting the importance of iPSC technology. The proteomic profiles identified here provide a useful resource to explore the molecular consequences of reduced SMN in motor neurons, and for the identification of novel biomarker and therapeutic targets for SMA."	NULL	506	NULL	9	PMC4707261	26793058	NULL	NULL	2016	Spinal muscular atrophy patient iPSC-derived motor neurons have reduced expression of proteins important in neuronal development.	0	1	1	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
52	Molecular and Cellular Proteomics	NULL	"Profiling posttranslational modifications represents an alternative dimension to gene expression data in characterizing cellular processes. Many cellular responses to drugs are mediated by changes in cellular phosphosignaling. We sought to develop a common platform on which phosphosignaling responses could be profiled across thousands of samples, and created a targeted MS assay that profiles a reduced-representation set of phosphopeptides that we show to be strong indicators of responses to chemical perturbagens. To develop the assay, we investigated the coordinate regulation of phosphosites in samples derived from three cell lines treated with 26 different bioactive small molecules. Phosphopeptide analytes were selected from these discovery studies by clustering and picking 1 to 2 proxy members from each cluster. A quantitative, targeted PRM assay was developed to directly measure 96 reduced-representation probes. Sample processing for proteolytic digestion, protein quantification, peptide desalting, and phosphopeptide enrichment have been fully automated, making possible the simultaneous processing of 96 samples in only 3 days, with a plate phosphopeptide enrichment variance of 12%. This highly reproducible process allowed ~95% of the reduced-representation phosphopeptide probes to be detected in ~200 samples. The performance of the assay was evaluated by measuring the probes in new samples generated under treatment conditions from discovery experiments, recapitulating the observations of deeper experiments using a fraction of the analytical effort. We measured these probes in new experiments varying the treatments, cell types, and timepoints to demonstrate generalizability. We demonstrated that the assay is sensitive to disruptions in common signaling pathways (e.g. MAPK, PI3K/mTOR, and CDK). The high-throughput, reduced-representation phosphoproteomics assay provides a platform for the comparison of perturbations across a range of biological conditions, suitable for profiling thousands of samples. We believe the assay will prove highly useful for classification of known and novel drug and genetic mechanisms through comparison of phosphoproteomic signatures."	"{\LINCS PCCSE Panorama Repository\"":\""https://panoramaweb.org/labkey/LINCS.url\""}"""	1622-41	5	15	PMC4858944	26912667	10.1074/mcp.M116.058354	NULL	2016	Reduced-representation phosphosignatures measured by quantitative targeted MS capture cellular states and enable large-scale comparison of drug-induced phenotypes.	1	1	1	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
53	Bioinformatics	NULL	"MOTIVATION: Adverse Drug Reactions (ADRs) are a central consideration during drug development. Here we present a machine learning classifier to prioritize ADRs for approved drugs and pre-clinical small-molecule compounds by combining chemical structure (CS) and gene expression (GE) features. The GE data is from the Library of Integrated Network-based Cellular Signatures (LINCS) L1000 dataset that measured changes in GE before and after treatment of human cells with over 20,000 small molecule compounds including most of the FDA-approved drugs. Using various ben-chmarking methods, we show that the integration of GE data with the CS of the drugs can significantly improve the predictability of ADRs. Moreover, transforming GE features to enrichment vectors of biological terms further improves the predictive capability of the classifiers. The most predictive biological-term features can assist in understanding the drug mechanisms of action. Finally, we applied the classifier to all >20,000 small molecules profiled, and developed a web portal for browsing and searching predictive small-molecule/ADR connections."	"{\SEP-L1000\"":\""http://maayanlab.net/SEP-L1000/\"", \""Video\"":\""https://www.youtube.com/watch?v=EHUAU05O0kQ\""}"""	2338-45	15	32	PMC4965635	27153606	10.1093/bioinformatics/btw168	NULL	2016	Drug induced adverse events prediction with the LINCS L1000 data.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
54	PLoS ONE	NULL	"Reproducibility is vital in science. For complex computational methods, it is often necessary, not just to recreate the code, but also the software and hardware environment to reproduce results. Virtual machines, and container software such as Docker, make it possible to reproduce the exact environment regardless of the underlying hardware and operating system. However, workflows that use Graphical User Interfaces (GUIs) remain difficult to replicate on different host systems as there is no high level graphical software layer common to all platforms. GUIdock allows for the facile distribution of a systems biology application along with its graphics environment. Complex graphics based workflows, ubiquitous in systems biology, can now be easily exported and reproduced on many different platforms. GUIdock uses Docker, an open source project that provides a container with only the absolutely necessary software dependencies and configures a common X Windows (X11) graphic interface on Linux, Macintosh and Windows platforms. As proof of concept, we present a Docker package that contains a Bioconductor application written in R and C++ called networkBMA for gene network inference. Our package also includes Cytoscape, a java-based platform with a graphical user interface for visualizing and analyzing gene networks, and the CyNetworkBMA app, a Cytoscape app that allows the use of networkBMA via the user-friendly Cytoscape interface."	NULL	e0152686	4	11	PMC4821530	27045593	10.1371/journal.pone.0152686	NULL	2016	GUIdock: Using Docker containers with a common graphics user interface to address the reproducibility of research.	0	0	0	0	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
55	arXiv	NULL	"Inferring gene regulatory networks is an important problem in systems biology. However, these networks can be hard to infer from experimental data because of the inherent variability in biological data as well as the large number of genes involved. We propose a fast, simple method for inferring regulatory relationships between genes from knockdown experiments in the NIH LINCS dataset by calculating posterior probabilities, incorporating prior information. We show that the method is able to find previously identified edges from TRANSFAC and JASPAR and discuss the merits and limitations of this approach."	NULL	1603.04835	NULL	arXiv	NULL	NULL	NULL	http://arxiv.org/abs/1603.04835	2016	A posterior probability approach for gene regulatory network inference in genetic perturbation data.	0	1	0	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	1	1
56	Molecular Systems Biology	NULL	"When cells are exposed to death ligands such as TRAIL, a fraction undergoes apoptosis and a fraction survives; if surviving cells are re-exposed to TRAIL, fractional killing is once again observed. Therapeutic antibodies directed against TRAIL receptors also cause fractional killing, even at saturating concentrations, limiting their effectiveness. Fractional killing arises from cell-to-cell fluctuations in protein levels (extrinsic noise), but how this results in a clean bifurcation between life and death remains unclear. In this paper, we identify a threshold in the rate and timing of initiator caspase activation that distinguishes cells that live from those that die; by mapping this threshold, we can predict fractional killing of cells exposed to natural and synthetic agonists alone or in combination with sensitizing drugs such as bortezomib. A phenomenological model of the threshold also quantifies the contributions of two resistance genes (c-FLIP and Bcl-2), providing new insight into the control of cell fate by opposing pro-death and pro-survival proteins and suggesting new criteria for evaluating the efficacy of therapeutic TRAIL receptor agonists."	"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/roux-molsystbiol-2015/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/explore/trail-threshold-variability/\"", \""MATLAB Scripts\"":\""http://lincs.hms.harvard.edu/explore/trail-threshold-variability/\""}"""	803	5	11	PMC4461398	25953765	10.15252/msb.20145584	NULL	2015	Fractional killing arises from cell-to-cell variability in overcoming a caspase activity threshold.	0	1	1	1	0	1	0	0	5/19/16 18:33	5/19/16 18:33	0	1
57	BMC Systems Biology	NULL	"BACKGROUND: The skeleton of complex systems can be represented as networks where vertices represent entities, and edges represent the relations between these entities. Often it is impossible, or expensive, to determine the network structure by experimental validation of the binary interactions between every vertex pair. It is usually more practical to infer the network from surrogate observations. Network inference is the process by which an underlying network of relations between entities is determined from indirect evidence. While many algorithms have been developed to infer networks from quantitative data, less attention has been paid to methods which infer networks from repeated co-occurrence of entities in related sets. This type of data is ubiquitous in the field of systems biology and in other areas of complex systems research. Hence, such methods would be of great utility and value. RESULTS: Here we present a general method for network inference from repeated observations of sets of related entities. Given experimental observations of such sets, we infer the underlying network connecting these entities by generating an ensemble of networks consistent with the data. The frequency of occurrence of a given link throughout this ensemble is interpreted as the probability that the link is present in the underlying real network conditioned on the data. Exponential random graphs are used to generate and sample the ensemble of consistent networks, and we take an algorithmic approach to numerically execute the inference method. The effectiveness of the method is demonstrated on synthetic data before employing this inference approach to problems in systems biology and systems pharmacology, as well as to construct a co-authorship collaboration network. We predict direct protein-protein interactions from high-throughput mass-spectrometry proteomics, integrate data from Chip-seq and loss-of-function/gain-of-function followed by expression data to infer a network of associations between pluripotency regulators, extract a network that connects 53 cancer drugs to each other and to 34 severe adverse events by mining the FDA's Adverse Events Reporting Systems (AERS), and construct a co-authorship network that connects Mount Sinai School of Medicine investigators. The predicted networks and online software to create networks from entity-set libraries are provided online at http://www.maayanlab.net/S2N. CONCLUSIONS: The network inference method presented here can be applied to resolve different types of networks in current systems biology and systems pharmacology as well as in other fields of research."	"{\Sets2Networks\"":\""http://www.maayanlab.net/S2N\""}"""	89	NULL	6	PMC3443648	22824380	10.1186/1752-0509-6-89	NULL	2012	Sets2Networks: network inference from repeated observations of sets.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
58	Nucleic Acids Research	NULL	"Enrichment analysis is a popular method for analyzing gene sets generated by genome-wide experiments. Here we present a significant update to one of the tools in this domain called Enrichr. Enrichr currently contains a large collection of diverse gene set libraries available for analysis and download. In total, Enrichr currently contains 180 184 annotated gene sets from 102 gene set libraries. New features have been added to Enrichr including the ability to submit fuzzy sets, upload BED files, improved application programming interface and visualization of the results as clustergrams. Overall, Enrichr is a comprehensive resource for curated gene sets and a search engine that accumulates biological knowledge for further biological discoveries. Enrichr is freely available at: http://amp.pharm.mssm.edu/Enrichr."	"{\Enrichr\"": \""http://amp.pharm.mssm.edu/Enrichr\""}"""	W90-7	W1	44	PMC4987924	27141961	10.1093/nar/gkw377	NULL	2016	Enrichr: a comprehensive gene set enrichment analysis web server 2016 update.	0	1	0	1	0	0	1	0	6/1/16 23:13	NULL	1	1
59	Nature Methods	NULL	"Drug sensitivity and resistance are conventionally quantified by IC50 or Emax values, but these metrics are highly sensitive to the number of divisions taking place over the course of a response assay. The dependency of IC50 and Emax on division rate creates artefactual correlations between genotype and drug sensitivity, while obscuring valuable biological insights and interfering with biomarker discovery. We derive alternative small molecule drug-response metrics that are insensitive to division number. These are based on estimation of the magnitude of drug-induced growth rate inhibition (GR) using endpoint or time-course assays. We show that GR50 and GRmax are superior to conventional metrics for assessing the effects of small molecule drugs in dividing cells. Moreover, adopting GR metrics requires only modest changes in experimental protocols. We expect GR metrics to improve the study of cell signaling and growth using small molecules and biologics and to facilitate the discovery of drug-response biomarkers and the identification of drugs effective against specific patient-derived tumor cells."	"{\Publication Summary\"": \""http://lincs.hms.harvard.edu/hafner-natmethods-2016/\"", \""GR Browser\"": \""http://grcalculator.org/\"", \""MATLAB/Python Scripts\"": \""https://github.com/sorgerlab/gr50_tools/\""}"""	521-7	6	13	PMC4887336	27135972	10.1038/nmeth.3853	NULL	2016	Growth rate inhibition metrics correct for confounders in measuring sensitivity to cancer drugs.	1	1	1	0	0	0	1	0	6/1/16 23:13	NULL	1	1
60	Scientific Reports	NULL	"In recent years, the assay for transposase-accessible chromatin using sequencing (ATAC-Seq) has become a fundamental tool of epigenomic research. However, it is difficult to perform this technique on frozen samples because freezing cells before extracting nuclei can impair nuclear integrity and alter chromatin structure, especially in fragile cells such as neurons. Our aim was to develop a protocol for freezing neuronal cells that is compatible with ATAC-Seq; we focused on a disease-relevant cell type, namely motor neurons differentiated from induced pluripotent stem cells (iMNs) from a patient affected by spinal muscular atrophy. We found that while flash-frozen iMNs are not suitable for ATAC-Seq, the assay is successful with slow-cooled cryopreserved cells. Using this method, we were able to isolate high quality, intact nuclei, and we verified that epigenetic results from fresh and cryopreserved iMNs quantitatively agree."	NULL	25474	NULL	6	PMC4857123	27146274	10.1038/srep25474	NULL	2016	Cell freezing protocol suitable for ATAC-Seq on motor neurons derived from human induced pluripotent stem cells.	1	1	1	0	0	0	0	0	6/1/16 23:13	NULL	0	1
61	Pharmacogenomics	NULL		NULL	119-22	2	14	PMC3605723	23327571	10.2217/pgs.12.186	NULL	2013	"Systems pharmacology meets predictive, preventive, personalized and participatory medicine. "	0	0	0	0	0	0	0	1	6/22/16 0:00	NULL	0	1
62	Nature Biotechnology	NULL	"Hundreds of genetically characterized cell lines are available for the discovery of genotype-specific cancer vulnerabilities. However, screening large numbers of compounds against large numbers of cell lines is currently impractical, and such experiments are often difficult to control. Here we report a method called PRISM that allows pooled screening of mixtures of cancer cell lines by labeling each cell line with 24-nucleotide barcodes. PRISM revealed the expected patterns of cell killing seen in conventional (unpooled) assays. In a screen of 102 cell lines across 8,400 compounds, PRISM led to the identification of BRD-7880 as a potent and highly specific inhibitor of aurora kinases B and C. Cell line pools also efficiently formed tumors as xenografts, and PRISM recapitulated the expected pattern of erlotinib sensitivity in vivo."	NULL	419-23	4	34	NULL	26928769	10.1038/nbt.3460	NULL	2016	High-throughput identification of genotype-specific cancer vulnerabilities in mixtures of barcoded tumor cell lines.	1	1	1	0	0	0	0	0	6/22/16 0:00	NULL	0	1
63	PLoS Computational Biology	NULL	"We present a novel regularization scheme called The Generalized Elastic Net (GELnet) that incorporates gene pathway information into feature selection. The proposed formulation is applicable to a wide variety of problems in which the interpretation of predictive features using known molecular interactions is desired. The method naturally steers solutions toward sets of mechanistically interlinked genes. Using experiments on synthetic data, we demonstrate that pathway-guided results maintain, and often improve, the accuracy of predictors even in cases where the full gene network is unknown. We apply the method to predict the drug response of breast cancer cell lines. GELnet is able to reveal genetic determinants of sensitivity and resistance for several compounds. In particular, for an EGFR/HER2 inhibitor, it finds a possible trans-differentiation resistance mechanism missed by the corresponding pathway agnostic approach."	NULL	e1004790	3	12	PMC4784899	26960204	10.1371/journal.pcbi.1004790	NULL	2016	Pathway-based genomics prediction using Generalized Elastic Net.	0	1	0	0	0	0	0	0	6/22/16 0:00	NULL	1	1
64	Pacific Symposium on Biocomputing	NULL	"The cellular composition of a tumor greatly influences the growth, spread, immune activity, drug response, and other aspects of the disease. Tumor cells are usually comprised of a heterogeneous mixture of subclones, each of which could contain their own distinct character. The presence of minor subclones poses a serious health risk for patients as any one of them could harbor a fitness advantage with respect to the current treatment regimen, fueling resistance. It is therefore vital to accurately assess the make-up of cell states within a tumor biopsy. Transcriptome-wide assays from RNA sequencing provide key data from which cell state signatures can be detected. However, the challenge is to find them within samples containing mixtures of cell types of unknown proportions. We propose a novel one-class method based on logistic regression and show that its performance is competitive to two established SVM-based methods for this detection task. We demonstrate that one-class models are able to identify specific cell types in heterogeneous cell populations better than their binary predictor counterparts. We derive one-class predictors for the major breast and bladder subtypes and reaffirm the connection between these two tissues. In addition, we use a one-class predictor to quantitatively associate an embryonic stem cell signature with an aggressive breast cancer subtype that reveals shared stemness pathways potentially important for treatment."	NULL	405-16	NULL	21	PMC4856035	26776204	10.1142/9789814749411_0037	NULL	2016	One-class detection of cell states in tumor subtypes.	0	1	0	0	0	0	0	0	6/22/16 0:00	NULL	1	1
65	Current Protocols in Chemical Biology	NULL	"High-content screening (HCS; fluorescence microscopy with multiple markers followed by automated image analysis) is gaining popularity in drug discovery due to the rich information it reveals about drug responses. It is particularly useful in studying anti-mitotic drug responses since mitotic arrest provides an activity biomarker. One conventional way to probe mitotic arrest and downstream apoptosis response is to use mitosis- and apoptosis-specific antibodies in cell-based imaging assays. However, weakly attached cells, especially dead cells, are mostly washed out during antibody labeling steps. Here, we report a rapid and convenient one-step cell-imaging assay that accurately measures cell-cycle state and apoptosis in mammalian cells. The assay uses three fluorescent dyes to stain living cells, involves no wash, and is fixable after live-cell labeling. Compared to the antibody-based method, this assay is quicker, more cost-effective, and yields more accurate dose-response results."	NULL	5-Jan	1	6	PMC4016950	24652619	10.1002/9780470559277.ch130140	NULL	2014	A one-step imaging assay to monitor cell cycle state and apoptosis in mammalian cells.	1	0	0	0	0	0	0	0	6/22/16 0:00	NULL	0	1
66	Cancer Cell	NULL	"KRAS is the most commonly mutated oncogene, yet no effective targeted therapies exist for KRAS mutant cancers. We developed a pooled shRNA-drug screen strategy to identify genes that, when inhibited, cooperate with MEK inhibitors to effectively treat KRAS mutant cancer cells. The anti-apoptotic BH3 family gene BCL-XL emerged as a top hit through this approach. ABT-263 (navitoclax), a chemical inhibitor that blocks the ability of BCL-XL to bind and inhibit pro-apoptotic proteins, in combination with a MEK inhibitor led to dramatic apoptosis in many KRAS mutant cell lines from different tissue types. This combination caused marked in vivo tumor regressions in KRAS mutant xenografts and in a genetically engineered KRAS-driven lung cancer mouse model, supporting combined BCL-XL/MEK inhibition as a potential therapeutic approach for KRAS mutant cancers."	NULL	121-8	1	23	PMC3667614	23245996	10.1016/j.ccr.2012.11.007	NULL	2013	Synthetic lethal interaction of combined BCL-XL and MEK inhibition promotes tumor regressions in KRAS mutant cancer models.	1	1	1	1	0	1	0	0	6/22/16 0:00	NULL	0	1
67	ACS Chemical Biology	NULL	"The target of rapamycin (TOR) is a critical regulator of growth, survival, and energy metabolism. The allosteric TORC1 inhibitor rapamycin has been used extensively to elucidate the TOR related signal pathway but is limited by its inability to inhibit TORC2. We used an unbiased cell proliferation assay of a kinase inhibitor library to discover QL-IX-55 as a potent inhibitor of S. cerevisiae growth. The functional target of QL-IX-55 is the ATP-binding site of TOR2 as evidenced by the discovery of resistant alleles of TOR2 through rational design and unbiased selection strategies. QL-IX-55 is capable of potently inhibiting both TOR complex 1 and 2 (TORC1 and TORC2) as demonstrated by biochemical IP kinase assays (IC(50) <50 nM) and cellular assays for inhibition of substrate YPK1 phosphorylation. In contrast to rapamycin, QL-IX-55 is capable of inhibiting TORC2-dependent transcription, which suggests that this compound will be a powerful probe to dissect the Tor2/TORC2-related signaling pathway in yeast."	NULL	982-7	6	7	PMC3376217	22496512	10.1021/cb300058v	NULL	2012	Selective ATP-competitive inhibitors of TOR suppress rapamycin-insensitive function of TORC2 in Saccharomyces cerevisiae	0	1	1	0	0	0	0	0	6/22/16 0:00	NULL	0	1
68	Cancer Discovery	NULL	"Genetic approaches have shown that the p110β isoform of class Ia phosphatidylinositol-3-kinase (PI3K) is essential for the growth of PTEN-null tumors. Thus, it is desirable to develop p110β-specific inhibitors for cancer therapy. Using a panel of PI3K isoform-specific cellular assays, we screened a collection of compounds possessing activities against kinases in the PI3K superfamily and identified a potent and selective p110β inhibitor: KIN-193. We show that KIN-193 is efficacious specifically in blocking AKT signaling and tumor growth that are dependent on p110β activation or PTEN loss. Broad profiling across a panel of 422 human tumor cell lines shows that the PTEN mutation status of cancer cells strongly correlates with their response to KIN-193. Together, our data provide the first pharmacologic evidence that PTEN-deficient tumors are dependent on p110β in animals and suggest that KIN-193 can be pursued as a drug to treat tumors that are dependent on p110β while sparing other PI3K isoforms."	NULL	425-33	5	2	PMC3384541	22588880	10.1158/2159-8290.CD-12-0003	NULL	2012	Functional characterization of an isoform-selective inhibitor of PI3K-p110β as a potential anticancer agent.	0	1	1	1	0	1	0	0	6/22/16 0:00	NULL	0	1
