abstract,analytical_method_development,article_name,assay_development,authors,center,center_pub,comments,created_at,data_analysis,data_generation,data_integration,data_standards,doi,issue,journal_name,other_link,pm_id,pmc_id,pp_pages,publication_id,resource_links,review,scopus_citations,show_at_home_order,signature_generation,software_development,updated_at,volume,year_published,PMCID,citations,n_citations,citation_years,YEAR,Proteomics,Microenvironment,DCIC,Drug Toxicity,HMS,Transcriptomics,NeuroLINCS,InternalExternal
"Genome-wide expression data from tumors and cell lines in breast cancer, together with drug response of cell lines, open prospects for integrative analyses that can lead to better personalized therapy. Drug responses and expression data collected from cell lines and tumors were used to generate tripartite networks connecting clusters of patients to cell lines and cell lines to drugs, to connect drugs to patients. Various approaches were applied to connect cell lines to tumor clusters: a standard method that uses a biomarker gene set, and new methods that compute metasignatures for transcription factors and histone modifications given upregulated genes in cell lines or tumors. The results from the metasignature analysis identify two major clusters of patients: one enriched for active histone marks and one for repressive marks. The tumors enriched for activation marks are correlated with poor prognosis. Overall, the analyses suggest new patient clustering, discover dysregulated pathways, and recommend individualized use of drugs to treat subsets of patients.CPT: Pharmacometrics & Systems Pharmacology (2013) 2, e35; doi:10.1038/psp.2013.11; advance online publication 27 March 2013.",1.0,Metasignatures identify two major subtypes of breast cancer.,0.0,"Ma'ayan A, Kou Y, Duan Q, Clark NR, Gordonov S",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1038/psp.2013.11,,CPT: Pharmacometrics and Systems Pharmacology,,23836026.0,PMC3615534,e35,24.0,,0.0,,,0.0,0.0,5/19/16 18:33,2,2013.0,PMC3615534,"['4221125', '4925810', '3712222', '5411077', '4675694', '4153537', '4868673', '3789539', '4965635']",9.0,"[2014, 2016, 2013, 2017, 0, 2014, 2016, 2013, 2016]",2013.0,0,0,0,0,1,0,0,internal
"mTOR is a highly conserved serine/threonine protein kinase that serves as a central regulator of cell growth, survival, and autophagy. Deregulation of the PI3K/Akt/mTOR signaling pathway occurs commonly in cancer and numerous inhibitors targeting the ATP-binding site of these kinases are currently undergoing clinical evaluation. Here, we report the characterization of Torin2, a second-generation ATP-competitive inhibitor that is potent and selective for mTOR with a superior pharmacokinetic profile to previous inhibitors. Torin2 inhibited mTORC1-dependent T389 phosphorylation on S6K (RPS6KB1) with an EC(50) of 250 pmol/L with approximately 800-fold selectivity for cellular mTOR versus phosphoinositide 3-kinase (PI3K). Torin2 also exhibited potent biochemical and cellular activity against phosphatidylinositol-3 kinase-like kinase (PIKK) family kinases including ATM (EC(50), 28 nmol/L), ATR (EC(50), 35 nmol/L), and DNA-PK (EC(50), 118 nmol/L; PRKDC), the inhibition of which sensitized cells to Irradiation. Similar to the earlier generation compound Torin1 and in contrast to other reported mTOR inhibitors, Torin2 inhibited mTOR kinase and mTORC1 signaling activities in a sustained manner suggestive of a slow dissociation from the kinase. Cancer cell treatment with Torin2 for 24 hours resulted in a prolonged block in negative feedback and consequent T308 phosphorylation on Akt. These effects were associated with strong growth inhibition in vitro. Single-agent treatment with Torin2 in vivo did not yield significant efficacy against KRAS-driven lung tumors, but the combination of Torin2 with mitogen-activated protein/extracellular signal-regulated kinase (MEK) inhibitor AZD6244 yielded a significant growth inhibition. Taken together, our findings establish Torin2 as a strong candidate for clinical evaluation in a broad number of oncologic settings where mTOR signaling has a pathogenic role.",0.0,"Characterization of Torin2, an ATP-competitive inhibitor of mTOR, ATM, and ATR.",0.0,"Niepel M, Gray NS, Liu Q, Xu C, Kirubakaran S, Zhang X, Hur W, Liu Y, Kwiatkowski NP, Wang J, Westover KD, Gao P, Ercan D, Thoreen CC, Kang SA, Patricelli MP, Wang Y, Tupper T, Altabef A, Kawamura H, Held KD, Chou DM, Elledge SJ, Janne PA, Wong KK, Sabatini DM",,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1158/0008-5472.CAN-12-1702,8,Cancer Research,,23436801.0,PMC3760004,2574-86,25.0,,0.0,,,0.0,0.0,5/19/16 18:33,73,2013.0,PMC3760004,"['3912084', '5007757', '4313067', '5395116', '4607622', '4437987', '4924753', '5315031', '6072143', '3903232', '4693276', '4259403', '5029691', '5346993', '4922265', '5675614', '3953821', '5341177', '3864542', '4824006', '3827918', '4237307', '3894558', '6075515', '4502728', '3725503', '5079084', '3779533', '5342446', '5796869', '4627234', '5533897', '4667710', '4128044', '4831814']",35.0,"[2014, 2016, 2015, 0, 2015, 2015, 2016, 2016, 2016, 2014, 2015, 2014, 2016, 2017, 2016, 2017, 0, 2017, 2013, 2015, 2013, 2014, 2014, 2016, 2014, 2013, 2016, 2013, 2016, 2017, 2015, 2017, 2014, 2014, 2016]",2013.0,0,0,0,0,1,0,0,internal
"Large-scale analysis of cellular response to anticancer drugs typically focuses on variation in potency (half-maximum inhibitory concentration, (IC50)), assuming that it is the most important difference between effective and ineffective drugs or sensitive and resistant cells. We took a multiparametric approach involving analysis of the slope of the dose-response curve, the area under the curve and the maximum effect (Emax). We found that some of these parameters vary systematically with cell line and others with drug class. For cell-cycle inhibitors, Emax often but not always correlated with cell proliferation rate. For drugs targeting the Akt/PI3K/mTOR pathway, dose-response curves were unusually shallow. Classical pharmacology has no ready explanation for this phenomenon, but single-cell analysis showed that it correlated with significant and heritable cell-to-cell variability in the extent of target inhibition. We conclude that parameters other than potency should be considered in the comparative analysis of drug response, particularly at clinically relevant concentrations near and above the IC50.",0.0,Metrics other than potency reveal systematic variation in responses to cancer drugs.,0.0,"Fallahi-Sichani M, Sorger PK, Honarnejad S, Heiser LM, Gray JW",,1.0,,5/19/16 18:33,1.0,1.0,1.0,0.0,,11,Nature Chemical Biology,,24013279.0,PMC3947796,708-14,26.0,"{\Publication Summary\"":\""https://lincs.hms.harvard.edu/fallahi-sichani-nchembio-2013/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/explore/breast-cancer-signaling/\""}""",0.0,,,0.0,0.0,5/19/16 18:33,9,2013.0,PMC3947796,"['4119520', '4398020', '4707509', '5309787', '4047886', '5828968', '5680301', '5135709', '4270152', '4358765', '4397719', '4476235', '4046135', '5508131', '5239501', '4913309', '3961306', '5086998', '5347140', '4573892', '5465904', '5392755', '5655668', '5695256', '5674849', '5994894', '6013488', '4762880', '5657440', '5668135', '4587398', '4511116', '5097113', '4604168', '4589737', '5509363', '4425617', '4108202', '5655815', '4036381', '4556284', '5538315', '5507670', '4975653', '4887341', '3998017', '5026573', '6089072', '4547623', '4843456', '4887336', '4461398', '4255182', '5753377', '4959870', '6078165', '5464733', '6026530', '5311997', '5364449', '5199129', '4570028', '5292010', '5879788', '4380931', '5510182', '4681992', '5356237']",68.0,"[2014, 2015, 2016, 2017, 2014, 2018, 2017, 2016, 0, 0, 2015, 2015, 2014, 2017, 2016, 2016, 2014, 2016, 2017, 2015, 2017, 2017, 2017, 2017, 2017, 0, 2018, 2016, 2017, 0, 2015, 0, 2016, 2015, 2015, 2017, 2015, 2014, 2017, 2014, 2015, 2017, 2016, 2016, 2016, 2014, 2016, 2017, 2014, 2016, 2016, 2015, 2014, 2017, 0, 2018, 2017, 2018, 2017, 2017, 2016, 2015, 2016, 2017, 2015, 2017, 2015, 2017]",2013.0,0,0,0,0,1,0,0,internal
"Malignant melanomas harbouring point mutations (Val600Glu) in the serine/threonine-protein kinase BRAF (BRAF(V600E)) depend on RAF-MEK-ERK signalling for tumour cell growth. RAF and MEK inhibitors show remarkable clinical efficacy in BRAF(V600E) melanoma; however, resistance to these agents remains a formidable challenge. Global characterization of resistance mechanisms may inform the development of more effective therapeutic combinations. Here we carried out systematic gain-of-function resistance studies by expressing more than 15,500 genes individually in a BRAF(V600E) melanoma cell line treated with RAF, MEK, ERK or combined RAF-MEK inhibitors. These studies revealed a cyclic-AMP-dependent melanocytic signalling network not previously associated with drug resistance, including G-protein-coupled receptors, adenyl cyclase, protein kinase A and cAMP response element binding protein (CREB). Preliminary analysis of biopsies from BRAF(V600E) melanoma patients revealed that phosphorylated (active) CREB was suppressed by RAF-MEK inhibition but restored in relapsing tumours. Expression of transcription factors activated downstream of MAP kinase and cAMP pathways also conferred resistance, including c-FOS, NR4A1, NR4A2 and MITF. Combined treatment with MAPK-pathway and histone-deacetylase inhibitors suppressed MITF expression and cAMP-mediated resistance. Collectively, these data suggest that oncogenic dysregulation of a melanocyte lineage dependency can cause resistance to RAF-MEK-ERK inhibition, which may be overcome by combining signalling- and chromatin-directed therapeutics.",0.0,A melanocyte lineage program confers resistance to MAP kinase pathway inhibition.,0.0,"Johannessen CM, Johnson LA, Piccioni F, Townes A, Frederick DT, Donahue MK, Narayan R, Flaherty KT, Wargo JA, Root DE, Garraway LA",,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1038/nature12688,7478,Nature,,24185007.0,PMC4098832,138-42,27.0,"{\KS Query\"":null,\""GSEA\"":null}""",0.0,,,0.0,0.0,5/19/16 18:33,504,2013.0,PMC4098832,"['5112703', '4701046', '4147301', '5528621', '4821508', '6024333', '4408261', '4428333', '4250230', '5305212', '5059112', '5743623', '5653508', '4123291', '4163536', '4643408', '4432663', '5435887', '4970460', '4737758', '5754352', '5342073', '4594182', '5079679', '5120861', '5957297', '4692100', '5297047', '4330752', '5378933', '5193106', '4150215', '4184867', '4167745', '4689159', '5003022', '5696266', '4891023', '4288358', '5528501', '4823922', '4583389', '4609261', '4336945', '4905366', '5050154', '5708181', '4294377', '4373107', '4717845', '5371854', '5016172', '5862306', '5883534', '5876130', '4363485', '6076867', '5891348', '5313047', '5085243', '4659938', '5706657', '4507807', '4785103', '4466007', '5701046', '4099524', '5722575', '4796027', '5248573', '4154497', '5421939', '4412490', '5048365', '5528620', '4604168', '4040458', '4944528', '6065179', '6053443', '5087317', '5124530', '5119958', '4398996', '4694844', '4279367', '4190567', '4831844', '4179759', '5909674', '4355234', '4695870', '4826182', '5873878', '4289115', '5819998', '5342406', '5012007', '5287109', '4325379', '6095730', '5746373', '5435346', '5815936', '5346251', '4420636', '4101763', '5650456', '4031441', '5167176', '4908108', '4559199', '4039128', '5658758', '4169564', '3947296', '5799768', '4435825', '6021419', '4281276', '3964064', '4622697', '5528618']",123.0,"[2016, 0, 2014, 2014, 0, 2018, 2015, 2014, 0, 2017, 0, 2017, 0, 2014, 2014, 2015, 2015, 0, 2015, 2016, 2018, 2016, 2015, 2016, 0, 0, 2015, 2017, 2015, 2016, 2016, 2014, 0, 2014, 2015, 2016, 2017, 2016, 2014, 2013, 2016, 2015, 2015, 2014, 2015, 2016, 2017, 2014, 2015, 2015, 2017, 2016, 2017, 2018, 2018, 2014, 2018, 2017, 0, 2016, 2015, 2017, 2015, 2015, 2015, 2017, 0, 2017, 0, 2017, 2014, 2017, 2015, 2016, 2014, 2015, 0, 0, 2018, 2018, 2016, 2016, 2016, 0, 2015, 2014, 2014, 2016, 2014, 2018, 2015, 2015, 2015, 2018, 2014, 2017, 2016, 2016, 0, 0, 2018, 2017, 2017, 2017, 2017, 2014, 2014, 2017, 0, 2016, 2016, 2015, 2014, 2017, 2014, 2013, 2017, 2015, 2018, 2014, 2014, 2015, 2014]",2013.0,0,0,0,0,0,1,0,internal
"Secreted proteins dictate a range of cellular functions in human health and disease. Because of the high degree of cellular heterogeneity and, more importantly, polyfunctionality of individual cells, there is an unmet need to simultaneously measure an array of proteins from single cells and to rapidly assay a large number of single cells (more than 1000) in parallel. We describe a simple bioanalytical assay platform consisting of a large array of subnanoliter microchambers integrated with high-density antibody barcode microarrays for highly multiplexed protein detection from over a thousand single cells in parallel. This platform has been tested for both cell lines and complex biological samples such as primary cells from patients. We observed distinct heterogeneity among the single cell secretomic signatures that, for the first time, can be directly correlated to the cells' physical behavior such as migration. Compared to the state-of-the-art protein secretion assay such as ELISpot and emerging microtechnology-enabled assays, our approach offers both high throughput and high multiplicity. It also has a number of clinician-friendly features such as ease of operation, low sample consumption, and standardized data analysis, representing a potentially transformative tool for informative monitoring of cellular function and immunity in patients.",0.0,High-throughput secretomic analysis of single cells to assess functional cellular heterogeneity.,1.0,"Lu Y, Chen JJ, Mu L, Xue Q, Wu Y, Wu PH, Li J, Vortmeyer AO, Miller-Jensen K, Wirtz D, Fan R",,1.0,,5/19/16 18:33,0.0,0.0,0.0,0.0,10.1021/ac400082e,4,Analytical Chemistry,,23339603.0,PMC3589817,2548-56,28.0,"{\MATLAB Scripts\"":null}""",0.0,,,0.0,0.0,5/19/16 18:33,85,2013.0,PMC3589817,"['5511750', '4958913', '4252757', '3665942', '4133013', '4664315', '4922259', '5459479', '5356452', '4145007', '5839759', '4355105', '5541261', '4552035', '5458548', '4343126', '4883669', '5839671', '4040085', '4801608', '4878481', '4266859', '4227729', '5770892', '5735825', '4237129', '4772973', '3822379', '3631762', '5751298', '4493572', '3978720', '3896583']",33.0,"[2016, 2016, 2014, 2013, 2014, 2015, 2016, 0, 0, 2014, 0, 2015, 0, 2015, 2017, 2015, 2015, 0, 0, 2016, 2016, 2014, 2014, 2018, 2015, 2014, 2015, 2013, 2013, 2017, 2015, 2013, 2013]",2013.0,0,0,0,0,0,0,0,external
"Identifying factors responsible for variation in drug response is essential for the effective use of targeted therapeutics. We profiled signaling pathway activity in a collection of breast cancer cell lines before and after stimulation with physiologically relevant ligands, which revealed the variability in network activity among cells of known genotype and molecular subtype. Despite the receptor-based classification of breast cancer subtypes, we found that the abundance and activity of signaling proteins in unstimulated cells (basal profile), as well as the activity of proteins in stimulated cells (signaling profile), varied within each subtype. Using a partial least-squares regression approach, we constructed models that significantly predicted sensitivity to 23 targeted therapeutics. For example, one model showed that the response to the growth factor receptor ligand heregulin effectively predicted the sensitivity of cells to drugs targeting the cell survival pathway mediated by PI3K (phosphoinositide 3-kinase) and Akt, whereas the abundance of Akt or the mutational status of the enzymes in the pathway did not. Thus, basal and signaling protein profiles may yield new biomarkers of drug sensitivity and enable the identification of appropriate therapies in cancers characterized by similar functional dysregulation of signaling networks.",0.0,Profiles of basal and stimulated receptor signaling networks predict drug response in breast cancer lines.,0.0,"Niepel M, Sorger PK, Hafner M, Pace EA, Chung M, Chai DH, Zhou L, Schoeberl B",,1.0,,5/19/16 18:33,1.0,1.0,1.0,0.0,10.1126/scisignal.2004379,294,Science Signaling,,24065145.0,PMC3845839,ra84,29.0,"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/niepel_scisignal_2013/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/explore/responses/\""}""",0.0,,,1.0,0.0,5/19/16 18:33,6,2013.0,PMC3845839,"['4375513', '5036860', '5111159', '5199121', '4490239', '5939057', '5921997', '5610318', '5460205', '4605607', '5461547', '4323858', '4053204', '5302955', '5005272', '5912210', '5516865', '5013316', '4818107', '5372219', '4598990', '5607260', '5662764', '4567444', '4039558', '4621756', '4914393', '5341104', '4355234', '4748276', '5510182', '4234128', '5058786']",33.0,"[2015, 2016, 2016, 2016, 2015, 2018, 2018, 2017, 2017, 2015, 2017, 0, 2014, 2016, 2016, 2018, 2017, 2016, 2016, 2016, 2015, 2017, 2017, 2015, 2014, 0, 2016, 2017, 2015, 2016, 2017, 2014, 2015]",2013.0,0,0,0,0,1,0,0,internal
"MOTIVATION: Identifying the cellular wiring that connects genomic perturbations to transcriptional changes in cancer is essential to gain a mechanistic understanding of disease initiation, progression and ultimately to predict drug response. We have developed a method called Tied Diffusion Through Interacting Events (TieDIE) that uses a network diffusion approach to connect genomic perturbations to gene expression changes characteristic of cancer subtypes. The method computes a subnetwork of protein-protein interactions, predicted transcription factor-to-target connections and curated interactions from literature that connects genomic and transcriptomic perturbations. RESULTS: Application of TieDIE to The Cancer Genome Atlas and a breast cancer cell line dataset identified key signaling pathways, with examples impinging on MYC activity. Interlinking genes are predicted to correspond to essential components of cancer signaling and may provide a mechanistic explanation of tumor character and suggest subtype-specific drug targets.",1.0,Discovering causal pathways linking genomic events to transcriptional states using tied diffusion through interacting events (TieDIE).,0.0,"Niepel M, Sorger PK, Haussler D, Stuart JM, Paull EO, Carlin DE",,1.0,,5/19/16 18:33,0.0,0.0,1.0,0.0,10.1093/bioinformatics/btt471,21,Bioinformatics,,23986566.0,PMC3799471,2757-64,30.0,"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/paull-bioinformatics-2013/\"", \""TieDIE\"":\""https://sysbiowiki.soe.ucsc.edu/tiedie\""}""",0.0,,,1.0,1.0,5/19/16 18:33,29,2013.0,PMC3799471,"['3910098', '4963036', '4168012', '6078169', '6084608', '5309189', '5718512', '4838263', '6097914', '5920724', '5862283', '4945827', '4243044', '4717906', '5224708', '4985183', '6075087', '5872385', '5638226', '5997485', '6044387', '5469877', '5215607', '6041755', '4148527', '6020840', '5820335', '4784899', '5799812', '5580716', '5160408', '5982584', '5734865', '5059623', '4804358', '3978567', '5748209', '5871915', '5445589']",39.0,"[0, 2016, 2014, 2016, 2018, 2017, 2017, 2016, 2018, 2018, 2016, 2015, 0, 0, 2016, 2016, 2017, 2018, 2017, 0, 2018, 2017, 2016, 2018, 2014, 2017, 2018, 2016, 2017, 0, 2016, 2018, 0, 2016, 0, 2014, 2017, 2017, 2017]",2013.0,0,0,0,0,1,0,0,internal
"Large corpora of kinase small molecule inhibitor data are accessible to public sector research from thousands of journal article and patent publications. These data have been generated employing a wide variety of assay methodologies and experimental procedures by numerous laboratories. Here we ask the question how applicable these heterogeneous data sets are to predict kinase activities and which characteristics of the data sets contribute to their utility. We accessed almost 500,000 molecules from the Kinase Knowledge Base (KKB) and after rigorous aggregation and standardization generated over 180 distinct data sets covering all major groups of the human kinome. To assess the value of the data sets, we generated hundreds of classification and regression models. Their rigorous cross-validation and characterization demonstrated highly predictive classification and quantitative models for the majority of kinase targets if a minimum required number of active compounds or structure-activity data points were available. We then applied the best classifiers to compounds most recently profiled in the NIH Library of Integrated Network-based Cellular Signatures (LINCS) program and found good agreement of profiling results with predicted activities. Our results indicate that, although heterogeneous in nature, the publically accessible data sets are exceedingly valuable and well suited to develop highly accurate predictors for practical Kinome-wide virtual screening applications and to complement experimental kinase profiling.",0.0,Kinome-wide activity modeling from diverse public high-quality data sets.,0.0,"Schürer SC, Muskal SM",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1021/ci300403k,1,Journal of Chemical Information Modeling,,23259810.0,PMC3569091,27-38,32.0,"{\LIFE\"":\""http://life.ccs.miami.edu/life/\""}""",0.0,,,0.0,0.0,5/19/16 18:33,53,2013.0,PMC3569091,"['4657038', '4614911', '5395521', '4075008', '4179751', '4148167', '5864870', '5039764', '4943296', '4899818', '3657311', '3628986']",12.0,"[2015, 2015, 2017, 2014, 2014, 2014, 2018, 2016, 2016, 2015, 2013, 2013]",2013.0,0,0,0,0,0,0,0,external
"Substantial effort in recent years has been devoted to analyzing data based large-scale biological networks, which provide valuable insight into the topologies of complex biological networks but are rarely context specific and cannot be used to predict the responses of cell signaling proteins to specific ligands or compounds. In this work, we proposed a novel strategy to investigate kinase inhibitor induced pathway signatures by integrating multiplex data in Library of Integrated Network-based Cellular Signatures (LINCS), e.g. KINOMEscan data and cell proliferation/mitosis imaging data. Using this strategy, we first established a PC9 cell line specific pathway model to investigate the pathway signatures in PC9 cell line when perturbed by a small molecule kinase inhibitor GW843682. This specific pathway revealed the role of PI3K/AKT in modulating the cell proliferation process and the absence of two anti-proliferation links, which indicated a potential mechanism of abnormal expansion in PC9 cell number. Incorporating the pathway model for side effects on primary human hepatocytes, it was used to screen 27 kinase inhibitors in LINCS database and PF02341066, known as Crizotinib, was finally suggested with an optimal concentration 4.6 uM to suppress PC9 cancer cell expansion while avoiding severe damage to primary human hepatocytes. Drug combination analysis revealed that the synergistic effect region can be predicted straightforwardly based on a threshold which is an inherent property of each kinase inhibitor. Furthermore, this integration strategy can be easily extended to other specific cell lines to be a powerful tool for drug screen before clinical trials.",0.0,Systematically studying kinase inhibitor induced signaling network signature by integrating both therapeutic and side effects.,0.0,"Zhou X, Shao H, Peng T, Ji Z, Su J",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1371/journal.pone.0080832,12,PLoS One,,24339888.0,PMC3855094,e80832,33.0,"{\KIEP\"":\""http://ctsb.is.wfubmc.edu/itNETZ/KIEP.html\""}""",0.0,,,0.0,0.0,5/19/16 18:33,8,2013.0,PMC3855094,"['5005272', '5366773', '4983505', '5737394', '4370756', '5763468', '4619778', '4179751', '4751505']",9.0,"[2016, 2017, 2016, 2017, 2015, 2017, 2015, 2014, 2016]",2013.0,0,0,0,0,0,0,0,external
"MOTIVATION: Networks are vital to computational systems biology research, but visualizing them is a challenge. For networks larger than ∼100 nodes and ∼200 links, ball-and-stick diagrams fail to convey much information. To address this, we developed Network2Canvas (N2C), a web application that provides an alternative way to view networks. N2C visualizes networks by placing nodes on a square toroidal canvas. The network nodes are clustered on the canvas using simulated annealing to maximize local connections where a node's brightness is made proportional to its local fitness. The interactive canvas is implemented in HyperText Markup Language (HTML)5 with the JavaScript library Data-Driven Documents (D3). We applied N2C to visualize 30 canvases made from human and mouse gene-set libraries and 6 canvases made from the Food and Drug Administration (FDA)-approved drug-set libraries. Given lists of genes or drugs, enriched terms are highlighted on the canvases, and their degree of clustering is computed. Because N2C produces visual patterns of enriched terms on canvases, a trained eye can detect signatures instantly. In summary, N2C provides a new flexible method to visualize large networks and can be used to perform and visualize gene-set and drug-set enrichment analyses.",1.0,Network2Canvas: Network visualization on a canvas with enrichment analysis.,0.0,"Ma'ayan A, Tan CM, Clark NR, Chen EY, Dannenfelser R",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,,15,Bioinformatics,,23749960.0,PMC3712222,1872-8,34.0,"{\Network2Canvas\"":\""http://www.maayanlab.net/N2C\""}""",0.0,,,0.0,1.0,5/19/16 18:33,29,2013.0,PMC3712222,"['5399661', '5581088', '5324308', '4706788', '4221125', '6029396', '4402723', '4086130', '5374737', '5577301', '3842763', '5088783', '4675694', '4153537', '5992522', '4065073', '4086107', '4345400', '5587027']",19.0,"[0, 2017, 2017, 2015, 2014, 2018, 2014, 2014, 2017, 2017, 2013, 2016, 0, 2014, 2018, 2014, 2014, 0, 2017]",2013.0,0,0,0,0,0,0,0,external
"Cancer cells can be drug resistant due to genetic variation at multiple steps in the drug response pathway, including drug efflux pumping, target mutation, and blunted apoptotic response. These are not discriminated by conventional cell survival assays. Here, we report a rapid and convenient high-content cell-imaging assay that measures multiple physiological changes in cells responding to antimitotic small-molecule drugs. Our one-step, no-wash assay uses three dyes to stain living cells and is much more accurate for scoring weakly adherent mitotic and apoptotic cells than conventional antibody-based assays. We profiled responses of 33 cell lines to 8 antimitotic drugs at multiple concentrations and time points using this assay and deposited our data and assay protocols into a public database (http://lincs.hms.harvard.edu/). Our data discriminated between alternative mechanisms that compromise drug sensitivity to paclitaxel and revealed an unexpected bell-shaped dose-response curve for BI2536, a highly selective inhibitor of Polo-like kinases. Our approach can be generalized, is scalable, and should therefore facilitate identification of molecular biomarkers for mechanisms of drug insensitivity in high-throughput screens and other assays.",0.0,Differential determinants of cancer cell insensitivity to antimitotic drugs discriminated by a one-step cell imaging assay.,1.0,"Tang Y, Xie T, Florian S, Moerke N, Shamu C, Benes C, Mitchison TJ ",,1.0,,5/19/16 18:33,1.0,1.0,1.0,0.0,10.1177/1087057113493804,9,Journal of Biomolecular Screening,,23788527.0,PMC3783590,1062-71,35.0,"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/tang-jbiomolscreen-2013/\""}""",0.0,,,0.0,0.0,5/19/16 18:33,18,2013.0,PMC3783590,"['4016950', '4380931']",2.0,"[2014, 2015]",2013.0,0,0,0,0,1,0,0,internal
,0.0,A dual sensor for real-time monitoring of glucose and oxygen.,1.0,"Tian Y, Su F, Zhang L, Meldrum D, Buizer S, Lu H, Gao W",,1.0,,5/19/16 18:33,0.0,0.0,0.0,0.0,10.1016/j.biomaterials.2013.09.031,38,Biomaterials,,24090834.0,PMC3878311,9779-88,37.0,,0.0,,,0.0,0.0,5/19/16 18:33,34,2013.0,PMC3878311,"['5847514', '5081308', '4093769', '5353596', '4218984', '4234216', '5049506', '5368665']",8.0,"[2018, 2016, 2014, 2017, 2014, 2014, 2016, 2017]",2013.0,0,0,0,0,0,0,0,external
,,,,,,1.0,,,,,,,,,,,23899692.0,,,,,,,,,,,,,PMC3800496,"['5087738', '5053573', '4021107', '5329129', '4416442', '4638154', '3979393', '5070278', '4340565', '4019715', '4499826', '5399112', '5192966', '3944405', '4058747', '4789497', '4599258', '4336622', '5346979', '4189195', '4754689']",21.0,"[2016, 2016, 0, 2016, 2015, 2015, 2014, 2016, 0, 2013, 2015, 2017, 2016, 2013, 0, 2016, 2015, 2014, 2017, 2014, 2016]",2013.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,24163374.0,,,,,,,,,,,,,PMC3973435,"['5833778', '4749542', '4371986', '5626456', '4414133', '4631646', '5875068', '5768685', '5856537', '4150275', '5959009', '4695108', '4742189', '4118771', '4727530', '5651864', '4767444', '5216972', '5990478', '4064951', '4747351', '4761532', '5862619', '5334148', '3989418', '4538440', '4317830', '4654699', '4962454', '4742099', '4666331', '5490225', '5833697', '5441683', '4673260', '4456440', '4055851', '5722513', '5288236', '4877578', '5979934', '5364827', '4406912', '4346894', '4487849']",45.0,"[2018, 0, 2015, 0, 2015, 2015, 2018, 2018, 2018, 2014, 2017, 2015, 2015, 2014, 2015, 2017, 2015, 2016, 2018, 2014, 2015, 2015, 2018, 2016, 2014, 2015, 2014, 0, 2016, 2015, 0, 2017, 2018, 0, 2015, 2015, 2014, 2017, 2016, 2016, 2018, 2017, 0, 2015, 2015]",2013.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,23559582.0,,,,,,,,,,,,,PMC3636790,"['3949031', '4713262', '4812204', '5833747', '5543336', '4136785', '5557356', '4611615', '5999756', '4522401', '4222245', '4411966']",12.0,"[2013, 2015, 2016, 2018, 2017, 2014, 2017, 2015, 2018, 2015, 2013, 2015]",2013.0,0,0,0,0,1,0,0,internal
"Reconstructing regulatory and signaling response networks is one of the major goals of systems biology. While several successful methods have been suggested for this task, some integrating large and diverse datasets, these methods have so far been applied to reconstruct a single response network at a time, even when studying and modeling related conditions. To improve network reconstruction we developed MT-SDREM, a multi-task learning method which jointly models networks for several related conditions. In MT-SDREM, parameters are jointly constrained across the networks while still allowing for condition-specific pathways and regulation. We formulate the multi-task learning problem and discuss methods for optimizing the joint target function. We applied MT-SDREM to reconstruct dynamic human response networks for three flu strains: H1N1, H5N1 and H3N2. Our multi-task learning method was able to identify known and novel factors and genes, improving upon prior methods that model each condition independently. The MT-SDREM networks were also better at identifying proteins whose removal affects viral load indicating that joint learning can still lead to accurate, condition-specific, networks. Supporting website with MT-SDREM implementation: http://sb.cs.cmu.edu/mtsdrem.",1.0,Multitask learning of signaling and regulatory networks with application to studying human response to flu.,0.0,"Jain S, Gitter A, Bar-Joseph Z",,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1371/journal.pcbi.1003943,12,PLoS Computational Biology,,25522349.0,PMC4270428,e1003943,4.0,"{\Custom code\"":null}""",0.0,,,0.0,1.0,5/19/16 18:33,10,2014.0,PMC4270428,"['5714249', '4908338', '4942116', '5635550']",4.0,"[2017, 2016, 2016, 2017]",2014.0,0,0,1,0,0,0,0,internal
